oid,tid,sid,meanra,meandec,sigmara,sigmadec,firstmjd,lastmjd,deltamjd,n_det,n_forced,n_non_det,created_date,updated_date,classifier_id,classifier_version,class_id,probability,ranking
313708285426925638,1,1,10.904668559002257,-43.88020572071815,8.953972857471335e-07,8.636209819468833e-07,60991.23716040687,61051.06682642956,59.82966602269153,17,0,0,2026-02-13,2026-02-24,1,201,0,0.9836505,1
170028532433420368,1,1,187.40455181135385,7.9329663964493,1.7352565872422314e-05,1.773057358536889e-05,61090.27129490509,61095.21421834042,4.942923435330158,14,119,0,2026-02-23,2026-02-24,1,201,0,0.9835296,1
313756673039663290,1,1,65.61064202377648,-46.75094498109613,1.2623912088567519e-06,1.2620416976652164e-06,61002.24293561163,61095.091331319316,92.84839570768236,12,40,0,2026-02-13,2026-02-24,1,201,0,0.9835175,1
313853517407191050,1,1,150.58961253161664,3.5757257369937876,9.616932750025052e-07,9.815641012663094e-07,61024.24593270644,61095.16302967743,70.9170969709885,97,371,0,2026-02-13,2026-02-24,1,201,0,0.9834869,1
170028485730369699,1,1,62.49406060075994,-46.37482759037298,4.648075288086175e-07,4.454908717969172e-07,61090.04758412875,61100.07841357533,10.030829446579446,134,356,0,2026-02-19,2026-03-01,1,201,0,0.9834722,1
170028535632625699,1,1,186.77781243396737,6.425824051187019,1.1660256349602653e-05,1.2148269264873373e-05,61090.25955613576,61095.217020639015,4.9574645032553235,16,232,0,2026-02-20,2026-02-24,1,201,0,0.9832396,1
313985347835920478,1,1,65.67829943000586,-48.08200502655491,1.274240250674078e-06,1.2065527391191189e-06,61054.16157864437,61095.089601289816,40.92802264544298,24,98,0,2026-02-13,2026-02-24,1,201,0,0.98321146,1
314002971185643575,1,1,60.99409030800866,-48.29739048030248,7.925827991368946e-07,8.123878957830432e-07,61058.10139262001,61095.09306706571,36.99167444570048,37,213,0,2026-02-13,2026-02-24,1,201,0,0.98293674,1
170028526461255827,1,1,185.2651936774438,7.07764889465715,2.868502025222173e-07,2.8441047235601653e-07,61090.247937232445,61095.2185456929,4.970608460454969,96,300,0,2026-02-19,2026-02-24,1,201,0,0.98281294,1
313980945201365531,1,1,64.4711797388702,-48.90740932897989,1.6300425279980003e-06,1.5719422483591562e-06,61053.23341941973,61095.09046674038,41.857047320649144,13,168,0,2026-02-13,2026-02-24,1,201,0,0.98260915,1
313897384113864792,1,1,61.275872853156976,-47.018711522654364,1.1851861826571575e-06,1.2191888598710866e-06,61034.16176667064,61095.09306706571,60.93130039507378,11,140,0,2026-02-13,2026-02-24,1,201,0,0.9826051,1
170028538953465864,1,1,185.5039034396691,8.353876423225506,1.455955862136183e-06,1.520025291570977e-06,61090.335206879136,61095.21281907965,4.8776122005147045,14,140,0,2026-02-20,2026-02-24,1,201,0,0.9825476,1
170028529287692359,1,1,186.27391315109313,7.710495737493586,5.644765623658414e-07,6.01806876782929e-07,61090.25912593749,61095.20416960909,4.945043671599706,25,264,0,2026-02-20,2026-02-24,1,201,0,0.9821583,1
313690716884172831,1,1,11.104019015625505,-43.07143415780065,5.911009501655885e-07,5.693832502453498e-07,60987.27835351133,61005.219723933275,17.941370421947795,12,0,0,2026-02-13,2026-02-24,1,201,0,0.98209906,1
170028516586815645,1,1,150.38450670931408,3.7929981002487465,3.698485445182974e-07,2.8905954309745295e-07,61090.20618903403,61097.31525257744,7.109063543415687,115,750,0,2026-02-19,2026-02-26,1,201,0,0.98190075,1
170028526783169043,1,1,187.31658423940354,6.356474899179548,8.201709348347368e-06,7.928179947678888e-06,61090.24892803998,61095.21328417606,4.9643561360790045,37,276,0,2026-02-20,2026-02-24,1,201,0,0.98187125,1
313897381661769812,1,1,9.166753938070178,-43.768311943671485,1.662458728729831e-06,1.649482309745887e-06,61034.15207893891,61069.07194802542,34.9198690865087,78,0,0,2026-02-13,2026-02-24,1,201,0,0.98178273,1
170028531056640089,1,1,186.2015174290166,8.073331608137387,1.3489220435944153e-06,1.5665232320639459e-06,61090.25679239822,61095.20837408284,4.9515816846178495,12,252,0,2026-02-20,2026-02-24,1,201,0,0.98177135,1
314051320305156133,1,1,60.37767133196637,-48.82199476932865,5.589514437897455e-08,5.4136252987624604e-08,61069.07776294004,61107.03617392735,37.958410987310344,503,468,0,2026-02-13,2026-03-08,1,201,0,0.981536,1
170028487519764721,1,1,63.981758048328224,-49.35835379021807,3.6193722319532157e-07,3.57645726600091e-07,61090.05788777735,61100.08073080923,10.022843031882076,23,217,0,2026-02-19,2026-03-01,1,201,0,0.980288,1
170032925077143565,1,1,187.05691935104943,7.585180409213724,2.1274821214720847e-06,2.0950900788285497e-06,61090.31579776885,61095.21421834042,4.89842057156784,10,157,0,2026-02-20,2026-02-24,1,201,0,0.98004925,1
170028535656218634,1,1,187.14185754735638,7.452223219008359,1.2754628540293475e-05,1.6047785390078626e-05,61090.25633787492,61095.1795632422,4.923225367281702,11,166,0,2026-02-20,2026-02-24,1,201,0,0.97993565,1
313765480701624510,1,1,62.449319750572286,-47.519750564437715,1.5040975020418517e-05,1.541620793537297e-05,61004.302236527146,61095.091331319316,90.78909479216964,15,180,0,2026-02-13,2026-02-24,1,201,0,0.9799207,1
313897383648821293,1,1,61.209059855017756,-49.29298652393888,1.5702572549516227e-05,2.0635164203446272e-05,61034.16037550087,61095.06411730652,60.903741805654136,10,169,0,2026-02-13,2026-02-24,1,201,0,0.9791784,1
170028528254845662,1,1,186.70349817823936,6.257664738510703,1.4594400248968786e-07,1.4722252635953636e-07,61090.2484597937,61095.288147140636,5.039687346936262,195,267,0,2026-02-20,2026-02-24,1,201,0,0.9791629,1
170028536047861812,1,1,186.36657515333377,8.329526023653859,1.2895347001335968e-05,1.34901111427585e-05,61090.25725973866,61095.1795632422,4.922303503539297,13,189,0,2026-02-20,2026-02-24,1,201,0,0.9791551,1
313888627014238212,1,1,149.53204976174942,3.296518842627738,1.1556752457565942e-05,1.5353981896238382e-05,61032.32800285226,61095.14413893499,62.81613608273619,27,306,0,2026-02-13,2026-02-24,1,201,0,0.97886,1
313673106902220836,1,1,10.36967363390272,-44.51699282897981,1.006811800863755e-06,9.885544536637263e-07,60983.20228719452,61051.06726001402,67.86497281949414,16,0,0,2026-02-13,2026-02-24,1,201,0,0.9785623,1
170028536399659074,1,1,185.4825635435207,7.475704744681076,9.51015999357541e-06,1.1350781152098472e-05,61090.31436872244,61095.21562036784,4.901251645402226,13,237,0,2026-02-20,2026-02-24,1,201,0,0.9784052,1
170028538549239842,1,1,185.56829622320168,7.140363246882183,2.262171846461378e-06,2.236792285417044e-06,61090.25355513746,61095.18564030556,4.932085168096819,14,131,0,2026-02-20,2026-02-24,1,201,0,0.97792953,1
313673106933678089,1,1,10.968762195373673,-42.72434257159819,2.8386975519111205e-06,2.8733135068459845e-06,60983.20228719452,61034.15486686731,50.95257967279031,16,0,0,2026-02-13,2026-02-24,1,201,0,0.977918,1
170028527165898795,1,1,186.97868044517907,8.090192694757205,1.2889064056191984e-05,1.4350119716462038e-05,61090.250326740745,61095.21515192313,4.964825182381901,25,274,0,2026-02-19,2026-02-24,1,201,0,0.9777589,1
170019716302635146,1,1,150.16577133920788,2.155965052340626,1.6288885370441663e-07,1.6643845394560402e-07,61088.211979366155,61109.14520318322,20.93322381706821,1021,1046,0,2026-02-17,2026-03-10,1,201,0,0.97770905,1
170028531227033750,1,1,187.57752155581557,6.973568767014427,2.0777131997858994e-05,2.011001378901393e-05,61090.26710384847,61095.206505874754,4.93940202628437,13,152,0,2026-02-20,2026-02-24,1,201,0,0.977481,1
170032920220139626,1,1,185.7172471704632,8.03047871533279,7.5730214819804725e-06,9.736090850470421e-06,61090.2609555277,61095.21748577128,4.956530243580346,19,178,0,2026-02-20,2026-02-24,1,201,0,0.9772752,1
