tns_name,tns_redshift,mB_eff,e_mB_eff
2023mty,0.08,18.608715157492842,0.1859434935161579
2023mty,0.08,18.541918962155545,0.1870620683754568
2023mty,0.08,18.49763826342317,0.1851489796740772
2023mty,0.08,18.477345187295164,0.17916253467891402
2023mty,0.08,18.552198081364836,0.1825144100535352
2023mty,0.08,18.636745965399946,0.18251112097967634
2023mty,0.08,18.817537753539288,0.18912869027538592
2023mty,0.08,18.94956841081258,0.19702718257332577
2023mty,0.08,19.205937091399395,0.19473771958940791
2023mty,0.08,19.205921091399397,0.19473754989121453
2023mty,0.08,19.287251068085872,0.19510368431398323
2023mty,0.08,19.447942093021595,0.19772734435988135
2023mty,0.08,19.824029185672963,0.21405405817143341
2022ncf,0.105,19.777468533459984,0.300219271048386
2022ncf,0.105,19.35528735819181,0.19868743102196573
2022ncf,0.105,19.09951582854017,0.2006107750371505
2022ncf,0.105,18.926018379883132,0.19550884772739763
2022ncf,0.105,18.894922927981696,0.19152574974640138
2022ncf,0.105,18.89225908348211,0.19578886681679047
2022ncf,0.105,18.900852901423775,0.19897346114148912
2022ncf,0.105,18.97306933355745,0.19233900979642868
2022ncf,0.105,19.039848881656013,0.1910743792297375
2022ncf,0.105,19.299016647443615,0.2156234069476516
2022ncf,0.105,19.55388522276052,0.2202893827186119
2022ncf,0.105,19.698887283025584,0.23195660033569138
2022ncf,0.105,20.010654647142253,0.26838529724024324
2022ncf,0.105,19.986448779271445,0.24739102105315586
2023rou,0.061,18.73714036572347,0.20182216169011802
2023rou,0.061,18.737094365723472,0.20182202993797416
2023rou,0.061,18.43610208452497,0.2008193307178477
2023rou,0.061,18.02855884610639,0.18783669122760752
2023rou,0.061,17.96927960768781,0.18499346654603582
2023rou,0.061,17.911357134095052,0.183227104967441
2023rou,0.061,18.007291183665135,0.18871799415062218
2023rou,0.061,18.10950257139669,0.1918994904498781
2023rou,0.061,18.336492114327292,0.19254140412990922
2023rou,0.061,18.48842492578016,0.19719432246710716
2023rou,0.061,18.618553879454474,0.21941289478469592
2023rou,0.061,18.69669720697866,0.19320942557773996
